Run Objective I0 n Rs Rsh Offset
0 8.243e-02 1.655e-07 1.235e+00 2.042e+01 1.441e+05 1.652e-03
1 8.243e-02 1.655e-07 1.235e+00 2.042e+01 1.441e+05 1.652e-03
2 8.243e-02 1.655e-07 1.235e+00 2.042e+01 1.441e+05 1.652e-03
3 8.243e-02 1.655e-07 1.235e+00 2.042e+01 1.441e+05 1.652e-03
4 8.243e-02 1.655e-07 1.235e+00 2.042e+01 1.441e+05 1.652e-03
5 8.243e-02 1.655e-07 1.235e+00 2.042e+01 1.441e+05 1.652e-03
6 8.243e-02 1.655e-07 1.235e+00 2.042e+01 1.441e+05 1.652e-03
7 8.243e-02 1.655e-07 1.235e+00 2.042e+01 1.441e+05 1.652e-03
8 8.243e-02 1.655e-07 1.235e+00 2.042e+01 1.441e+05 1.652e-03
9 8.243e-02 1.655e-07 1.235e+00 2.042e+01 1.441e+05 1.652e-03
